step,train_loss,train_mean_token_accuracy,valid_loss,valid_mean_token_accuracy
1,1.3298215866088867,0.6991748213768005,1.0738174403506076,0.6974789915966386
2,1.1329708099365234,0.7525773048400879,-1,-1
3,1.3664082288742065,0.6662251949310303,-1,-1
4,1.5279099941253662,0.6564223766326904,-1,-1
5,1.5917993783950806,0.6507936716079712,1.2442681378331677,0.6755485893416928
6,1.4360861778259277,0.6561043858528137,-1,-1
7,1.3736006021499634,0.6624265909194946,-1,-1
8,1.5119441747665405,0.6193601489067078,-1,-1
9,1.5299525260925293,0.6454668641090393,1.217340252021464,0.6509146341463414
10,1.0339022874832153,0.7434343695640564,-1,-1
11,1.5075299739837646,0.6568166613578796,-1,-1
12,1.6924023628234863,0.6071428656578064,-1,-1
13,1.3401906490325928,0.698906660079956,1.4738909519805992,0.5931185144729656
14,1.6666855812072754,0.6162790656089783,-1,-1
15,1.6018028259277344,0.6538860201835632,-1,-1
16,1.7034224271774292,0.5918367505073547,-1,-1
17,1.52022385597229,0.6318874359130859,1.5371600678930073,0.5857307249712314
18,1.4317036867141724,0.7096773982048035,-1,-1
19,0.9989270567893982,0.77440345287323,-1,-1
20,1.2395919561386108,0.6849507689476013,-1,-1
21,1.183174729347229,0.6920332908630371,1.6708699175592006,0.5733070348454964
22,1.21645188331604,0.7048494815826416,-1,-1
23,1.47097909450531,0.6306569576263428,-1,-1
24,1.171262264251709,0.7043378949165344,-1,-1
25,1.1295961141586304,0.7048816680908203,1.3175605208219172,0.6222444889779559
26,1.371852159500122,0.6566104888916016,-1,-1
27,1.6689162254333496,0.6059479713439941,-1,-1
28,1.2606045007705688,0.6963855624198914,-1,-1
29,1.5875756740570068,0.6020671725273132,1.1957315682830696,0.6295743091859597
30,1.0025461912155151,0.7557932138442993,-1,-1
31,1.3515019416809082,0.657192051410675,-1,-1
32,1.2368602752685547,0.6915799379348755,-1,-1
33,1.3790807723999023,0.6681681871414185,1.5677643458914692,0.5844686648501363
34,1.2387298345565796,0.7110609412193298,-1,-1
35,1.5547409057617188,0.6119658350944519,-1,-1
36,1.518173098564148,0.6001821756362915,-1,-1
37,1.3973366022109985,0.6205607652664185,0.8678573959339173,0.6836200448765893
38,1.1682184934616089,0.6944444179534912,-1,-1
39,1.2668184041976929,0.6803170442581177,-1,-1
40,1.5609848499298096,0.6164753437042236,-1,-1
41,1.7076915502548218,0.5931174159049988,1.1445520135181584,0.6354029062087186
42,1.1916569471359253,0.7052096724510193,-1,-1
43,1.332189679145813,0.6713693141937256,-1,-1
44,1.674133539199829,0.6025104522705078,-1,-1
45,1.2467683553695679,0.662175178527832,1.1610524593075788,0.6135194709772226
46,1.3833330869674683,0.642994225025177,-1,-1
47,1.0911763906478882,0.701886773109436,-1,-1
48,1.340561032295227,0.6506591439247131,-1,-1
49,1.436322569847107,0.6333021521568298,0.9640663236224672,0.6984402079722704
50,1.3599703311920166,0.6412795186042786,-1,-1
51,1.0462490320205688,0.7084377408027649,-1,-1
52,1.0791000127792358,0.707812488079071,-1,-1
53,1.0403599739074707,0.7299794554710388,1.5242553389085918,0.5334088335220838
54,1.1719743013381958,0.6904761791229248,-1,-1
55,1.086670160293579,0.7102540135383606,-1,-1
56,1.303767204284668,0.6413649320602417,-1,-1
57,1.3235747814178467,0.661212682723999,1.27643380560269,0.5834254143646409
58,1.4823509454727173,0.6267247796058655,-1,-1
59,1.2885663509368896,0.6741271018981934,-1,-1
60,1.3834069967269897,0.6394628286361694,-1,-1
61,1.076648235321045,0.6944696307182312,1.3171112660829185,0.5928934010152285
62,1.2603950500488281,0.6763449907302856,-1,-1
63,1.0052540302276611,0.7217497229576111,-1,-1
64,1.283651351928711,0.6543307304382324,-1,-1
65,1.079362154006958,0.7047691345214844,1.3092405598193284,0.6109958506224067
66,1.2682689428329468,0.6845906972885132,-1,-1
67,1.4822824001312256,0.6108695864677429,-1,-1
68,1.086817979812622,0.7320340871810913,-1,-1
69,0.9750511646270752,0.7252747416496277,1.581475662032911,0.5641263940520446
70,1.2239904403686523,0.6643677949905396,-1,-1
71,1.4051175117492676,0.6276679635047913,-1,-1
72,1.1181409358978271,0.6747368574142456,-1,-1
73,1.0036460161209106,0.717277467250824,1.3679262208615683,0.5553047404063205
74,1.3349024057388306,0.6680429577827454,-1,-1
75,1.4622728824615479,0.6277884244918823,-1,-1
76,1.1594034433364868,0.6787030100822449,-1,-1
77,0.9813029170036316,0.7277051210403442,1.3058617636615188,0.6194945848375452
78,1.2185486555099487,0.6796733140945435,-1,-1
79,1.4980465173721313,0.6156299710273743,-1,-1
80,1.1318780183792114,0.701564371585846,-1,-1
81,1.2581621408462524,0.6915708780288696,1.11857501556727,0.6231046931407942
82,1.0440503358840942,0.7220609784126282,-1,-1
83,1.2585705518722534,0.6570008397102356,-1,-1
84,1.036736011505127,0.7256562113761902,-1,-1
85,1.1276681423187256,0.7121507525444031,1.1440421515766184,0.5898174831892411
86,1.3045557737350464,0.6486486196517944,-1,-1
87,1.2363165616989136,0.682284951210022,-1,-1
88,1.2632299661636353,0.6812595725059509,-1,-1
89,0.8758147358894348,0.7683848738670349,1.4698400031254943,0.5649441340782123
90,1.3684054613113403,0.6342817544937134,-1,-1
